SHHADID,SPANEL,SSUID,SWAVE,PNUM,MONTHCODE,THTOTINC,unique_ID
11,2014,418406566,1,104,12,2901,418406566_104
11,2014,418406566,1,105,12,2901,418406566_105
11,2014,418406582,1,101,12,1010,418406582_101
11,2014,418406596,1,101,12,1291,418406596_101
11,2014,418406596,1,102,12,1291,418406596_102
11,2014,418406622,1,101,12,9453,418406622_101
11,2014,418406622,1,102,12,9453,418406622_102
11,2014,418406622,1,103,12,9453,418406622_103
11,2014,418406622,1,104,12,9453,418406622_104
11,2014,418406622,1,105,12,9453,418406622_105
11,2014,418406660,1,101,12,10306,418406660_101
11,2014,418406660,1,102,12,10306,418406660_102
11,2014,418406660,1,103,12,10306,418406660_103
11,2014,418406788,1,101,12,14795,418406788_101
11,2014,418406788,1,102,12,14795,418406788_102
11,2014,418406801,1,101,12,1705,418406801_101
11,2014,418406883,1,101,12,4896,418406883_101
11,2014,418406919,1,101,12,873,418406919_101
11,2014,418406919,1,102,12,873,418406919_102
11,2014,418408149,1,101,12,725,418408149_101
11,2014,418408197,1,101,12,5800,418408197_101
11,2014,418408197,1,102,12,5800,418408197_102
11,2014,418408197,1,103,12,5800,418408197_103
11,2014,418408259,1,101,12,11365,418408259_101
11,2014,418408259,1,102,12,11365,418408259_102
11,2014,418408259,1,103,12,11365,418408259_103
11,2014,418408259,1,104,12,11365,418408259_104
11,2014,418408660,1,101,12,0,418408660_101
11,2014,418408831,1,101,12,2389,418408831_101
11,2014,418408831,1,102,12,2389,418408831_102
11,2014,418408831,1,103,12,2389,418408831_103
11,2014,418408831,1,104,12,2389,418408831_104
11,2014,418408831,1,105,12,2389,418408831_105
11,2014,418408831,1,106,12,2389,418408831_106
11,2014,418408831,1,107,12,2389,418408831_107
11,2014,418408831,1,108,12,2389,418408831_108
11,2014,418408944,1,101,12,4558,418408944_101
11,2014,418408944,1,102,12,4558,418408944_102
11,2014,418415023,1,101,12,1329,418415023_101
11,2014,418415746,1,101,12,1669,418415746_101
11,2014,418415746,1,102,12,1669,418415746_102
11,2014,418415746,1,103,12,1669,418415746_103
11,2014,418415746,1,104,12,1669,418415746_104
11,2014,418418174,1,101,12,4633,418418174_101
11,2014,418418174,1,102,12,4633,418418174_102
11,2014,418418267,1,101,12,2726,418418267_101
11,2014,418418903,1,101,12,3106,418418903_101
11,2014,418438070,1,101,12,11568,418438070_101
11,2014,418438070,1,102,12,11568,418438070_102
11,2014,418438134,1,101,12,550,418438134_101
11,2014,418438253,1,101,12,30820,418438253_101
11,2014,418438253,1,102,12,30820,418438253_102
11,2014,418438369,1,101,12,5055,418438369_101
11,2014,418438465,1,101,12,2126,418438465_101
11,2014,418438765,1,101,12,1402,418438765_101
11,2014,418472070,1,101,12,3239,418472070_101
11,2014,418472070,1,102,12,3239,418472070_102
11,2014,418472070,1,103,12,3239,418472070_103
11,2014,418472070,1,104,12,3239,418472070_104
11,2014,418472253,1,101,12,13650,418472253_101
11,2014,418472253,1,102,12,13650,418472253_102
11,2014,418472253,1,103,12,13650,418472253_103
11,2014,418472343,1,101,12,10646,418472343_101
11,2014,418472746,1,101,12,5614,418472746_101
11,2014,418472746,1,102,12,5614,418472746_102
11,2014,418472765,1,101,12,7162,418472765_101
11,2014,418472765,1,102,12,7162,418472765_102
11,2014,418472765,1,103,12,7162,418472765_103
11,2014,418494086,1,101,12,18192,418494086_101
11,2014,418494086,1,102,12,18192,418494086_102
11,2014,418494086,1,103,12,18192,418494086_103
11,2014,418494086,1,104,12,18192,418494086_104
11,2014,418494905,1,101,12,3450,418494905_101
11,2014,418494946,1,101,12,4692,418494946_101
11,2014,418494946,1,102,12,4692,418494946_102
11,2014,418494946,1,103,12,4692,418494946_103
11,2014,418494946,1,104,12,4692,418494946_104
11,2014,418500162,1,101,12,4061,418500162_101
11,2014,418500162,1,102,12,4061,418500162_102
11,2014,418500162,1,103,12,4061,418500162_103
11,2014,418500431,1,101,12,1060,418500431_101
11,2014,418500458,1,101,12,3821,418500458_101
11,2014,418500458,1,102,12,3821,418500458_102
11,2014,418500458,1,103,12,3821,418500458_103
11,2014,418500458,1,104,12,3821,418500458_104
11,2014,418500549,1,101,12,5562,418500549_101
11,2014,418500692,1,101,12,2533,418500692_101
11,2014,418500692,1,102,12,2533,418500692_102
11,2014,418500692,1,103,12,2533,418500692_103
11,2014,418500692,1,104,12,2533,418500692_104
11,2014,418500692,1,105,12,2533,418500692_105
11,2014,418500692,1,106,12,2533,418500692_106
11,2014,418500705,1,101,12,552,418500705_101
11,2014,418500773,1,101,12,5193,418500773_101
11,2014,418500773,1,102,12,5193,418500773_102
11,2014,418500994,1,101,12,2933,418500994_101
11,2014,418501142,1,101,12,9878,418501142_101
11,2014,418501142,1,102,12,9878,418501142_102
11,2014,418501142,1,103,12,9878,418501142_103
11,2014,418501142,1,104,12,9878,418501142_104
11,2014,418501319,1,101,12,4653,418501319_101
11,2014,418501319,1,102,12,4653,418501319_102
11,2014,418501389,1,101,12,5575,418501389_101
11,2014,418501389,1,102,12,5575,418501389_102
11,2014,418501482,1,101,12,3103,418501482_101
11,2014,418501482,1,102,12,3103,418501482_102
11,2014,418501482,1,103,12,3103,418501482_103
11,2014,418501494,1,101,12,446,418501494_101
11,2014,418533449,1,101,12,11725,418533449_101
11,2014,418533449,1,102,12,11725,418533449_102
11,2014,418533449,1,103,12,11725,418533449_103
11,2014,418533449,1,104,12,11725,418533449_104
11,2014,418533449,1,105,12,11725,418533449_105
11,2014,418533619,1,101,12,4769,418533619_101
11,2014,418533619,1,102,12,4769,418533619_102
11,2014,418533619,1,103,12,4769,418533619_103
11,2014,418533619,1,104,12,4769,418533619_104
11,2014,418533852,1,101,12,2657,418533852_101
11,2014,418533852,1,102,12,2569,418533852_102
11,2014,418533903,1,101,12,5791,418533903_101
11,2014,418533903,1,102,12,5791,418533903_102
11,2014,418533950,1,101,12,2352,418533950_101
11,2014,418533950,1,102,12,2352,418533950_102
11,2014,418533950,1,103,12,2352,418533950_103
11,2014,418552692,1,101,12,3577,418552692_101
11,2014,418552692,1,102,12,3577,418552692_102
11,2014,418552705,1,101,12,2756,418552705_101
11,2014,418552705,1,102,12,2756,418552705_102
11,2014,418552705,1,103,12,2756,418552705_103
11,2014,418552773,1,101,12,2328,418552773_101
11,2014,418552773,1,102,12,2328,418552773_102
11,2014,418552994,1,101,12,8,418552994_101
11,2014,418555070,1,101,12,1742,418555070_101
11,2014,418597369,1,101,12,5486,418597369_101
11,2014,418597369,1,102,12,5486,418597369_102
11,2014,418597369,1,103,12,5486,418597369_103
11,2014,418597369,1,104,12,5486,418597369_104
11,2014,418597369,1,105,12,5486,418597369_105
11,2014,418597765,1,101,12,343,418597765_101
11,2014,418606142,1,101,12,8005,418606142_101
11,2014,418606142,1,102,12,8005,418606142_102
11,2014,418606494,1,101,12,6115,418606494_101
11,2014,418606494,1,102,12,6115,418606494_102
11,2014,418609029,1,101,12,14551,418609029_101
11,2014,418609029,1,102,12,14551,418609029_102
11,2014,418609029,1,103,12,14551,418609029_103
11,2014,418609142,1,101,12,695,418609142_101
11,2014,418609319,1,101,12,5174,418609319_101
11,2014,418609319,1,102,12,5174,418609319_102
11,2014,418609494,1,101,12,9241,418609494_101
11,2014,418609494,1,102,12,9241,418609494_102
11,2014,418609553,1,101,12,3625,418609553_101
11,2014,418609553,1,102,12,3625,418609553_102
11,2014,418610770,1,101,12,742,418610770_101
11,2014,418635162,1,101,12,3707,418635162_101
11,2014,418635692,1,101,12,4214,418635692_101
11,2014,418635994,1,101,12,5962,418635994_101
11,2014,418635994,1,102,12,5962,418635994_102
11,2014,418635994,1,103,12,5962,418635994_103
11,2014,418662431,1,101,12,7913,418662431_101
11,2014,418662431,1,102,12,7913,418662431_102
11,2014,418662431,1,103,12,7913,418662431_103
11,2014,418662431,1,104,12,7913,418662431_104
11,2014,418662458,1,101,12,7130,418662458_101
11,2014,418662458,1,102,12,7130,418662458_102
11,2014,418662458,1,103,12,7130,418662458_103
11,2014,418662458,1,104,12,7130,418662458_104
11,2014,418662549,1,101,12,5622,418662549_101
11,2014,418662994,1,101,12,4908,418662994_101
11,2014,418662994,1,102,12,4908,418662994_102
11,2014,418662994,1,103,12,4908,418662994_103
11,2014,418662994,1,104,12,4908,418662994_104
11,2014,418662994,1,105,12,4908,418662994_105
11,2014,418688149,1,101,12,2897,418688149_101
11,2014,418688207,1,101,12,24840,418688207_101
11,2014,418688207,1,102,12,24840,418688207_102
11,2014,418688207,1,103,12,24840,418688207_103
11,2014,418688259,1,101,12,0,418688259_101
11,2014,418688294,1,101,12,6310,418688294_101
11,2014,418688294,1,102,12,6310,418688294_102
11,2014,418688630,1,101,12,7617,418688630_101
11,2014,418688630,1,102,12,7617,418688630_102
