SHHADID,SPANEL,SSUID,SWAVE,PNUM,MONTHCODE,THTOTINC,unique_ID_2
11,2014,418932283,3,101,12,7467,418932283_101
11,2014,418932283,3,102,12,7467,418932283_102
11,2014,418932373,3,101,12,4331,418932373_101
11,2014,418932449,3,101,12,592,418932449_101
31,2014,418932449,3,102,12,2148,418932449_102
11,2014,418932449,3,301,12,592,418932449_301
11,2014,418932689,3,101,12,1130,418932689_101
11,2014,418932903,3,101,12,2403,418932903_101
11,2014,418932946,3,101,12,0,418932946_101
11,2014,418945584,3,101,12,946,418945584_101
11,2014,418945584,3,102,12,946,418945584_102
11,2014,418945772,3,101,12,1060,418945772_101
11,2014,418967291,3,101,12,3438,418967291_101
11,2014,418967291,3,102,12,3438,418967291_102
31,2014,418967291,3,103,12,2214,418967291_103
11,2014,418967291,3,104,12,3438,418967291_104
11,2014,418967291,3,105,12,3438,418967291_105
11,2014,418967852,3,101,12,15995,418967852_101
11,2014,418967852,3,102,12,15995,418967852_102
11,2014,418967852,3,103,12,15995,418967852_103
11,2014,418967852,3,104,12,15995,418967852_104
11,2014,418967903,3,101,12,3976,418967903_101
31,2014,418967903,3,102,12,4251,418967903_102
11,2014,418967903,3,301,12,3976,418967903_301
11,2014,418967903,3,302,12,3976,418967903_302
11,2014,418967905,3,101,12,4991,418967905_101
11,2014,418967905,3,102,12,4991,418967905_102
11,2014,418967905,3,103,12,4991,418967905_103
11,2014,418982431,3,101,12,8703,418982431_101
11,2014,418982431,3,102,12,8703,418982431_102
11,2014,418982431,3,103,12,8703,418982431_103
11,2014,418982431,3,104,12,8703,418982431_104
11,2014,418982431,3,105,12,8703,418982431_105
11,2014,418982431,3,106,12,8703,418982431_106
11,2014,418982692,3,101,12,6202,418982692_101
11,2014,418982692,3,102,12,6202,418982692_102
11,2014,418982692,3,103,12,6202,418982692_103
11,2014,418982705,3,101,12,989,418982705_101
11,2014,418988319,3,101,12,7126,418988319_101
11,2014,418988319,3,102,12,7126,418988319_102
11,2014,418988319,3,103,12,7126,418988319_103
11,2014,418988319,3,301,12,7126,418988319_301
11,2014,418988319,3,302,12,7126,418988319_302
11,2014,418988319,3,303,12,7126,418988319_303
11,2014,418988553,3,101,12,3669,418988553_101
11,2014,418988553,3,102,12,3669,418988553_102
11,2014,418995086,3,101,12,1479,418995086_101
11,2014,418995267,3,101,12,4783,418995267_101
11,2014,418995267,3,102,12,4783,418995267_102
11,2014,418995267,3,103,12,4783,418995267_103
11,2014,418995267,3,104,12,4783,418995267_104
11,2014,418995502,3,101,12,7184,418995502_101
11,2014,418995502,3,102,12,7184,418995502_102
11,2014,418995502,3,103,12,7184,418995502_103
11,2014,418995502,3,104,12,7184,418995502_104
11,2014,418995566,3,101,12,9514,418995566_101
11,2014,418995566,3,102,12,9514,418995566_102
11,2014,418995566,3,103,12,9514,418995566_103
11,2014,418995566,3,104,12,9514,418995566_104
11,2014,418995582,3,101,12,6210,418995582_101
11,2014,418995582,3,102,12,6210,418995582_102
11,2014,418995582,3,103,12,6210,418995582_103
11,2014,418995582,3,301,12,6210,418995582_301
11,2014,418995582,3,302,12,0,418995582_302
11,2014,418995582,3,303,12,0,418995582_303
21,2014,418995596,3,101,12,5310,418995596_101
21,2014,418995596,3,102,12,5310,418995596_102
11,2014,418995632,3,101,12,10709,418995632_101
11,2014,418995632,3,102,12,10709,418995632_102
11,2014,418995788,3,101,12,1661,418995788_101
11,2014,418995788,3,102,12,1661,418995788_102
11,2014,418995788,3,103,12,1661,418995788_103
11,2014,418995788,3,104,12,1661,418995788_104
11,2014,418995788,3,201,12,1661,418995788_201
11,2014,418995788,3,202,12,1661,418995788_202
11,2014,418995788,3,203,12,1661,418995788_203
11,2014,418995801,3,101,12,6087,418995801_101
11,2014,418995801,3,102,12,6087,418995801_102
11,2014,418995898,3,101,12,5399,418995898_101
11,2014,418995898,3,102,12,5399,418995898_102
11,2014,418995919,3,101,12,3214,418995919_101
21,2014,562892294,3,101,12,2185,562892294_101
21,2014,562892294,3,301,12,2185,562892294_301
31,2014,562892932,3,101,12,4960,562892932_101
31,2014,562892932,3,301,12,4960,562892932_301
31,2014,562892932,3,302,12,4960,562892932_302
11,2014,860021294,3,101,12,23182,860021294_101
11,2014,860021294,3,102,12,23182,860021294_102
31,2014,860021660,3,101,12,7239,860021660_101
31,2014,860021660,3,102,12,7239,860021660_102
31,2014,860021660,3,301,12,7239,860021660_301
11,2014,860037058,3,101,12,867,860037058_101
